SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalPrice
104,36829,6982,2024-01-06,4,1557.6
105,18337,26326,2025-01-28,5,970.6
106,27446,46064,2024-03-28,1,98.16
107,41293,36047,2024-07-26,2,536.9
108,47857,24131,2024-06-24,2,745.78
109,42816,13770,2023-08-20,3,984.96
110,15880,32744,2025-04-15,4,664.44
111,39558,31487,2024-02-17,4,881.36
112,31320,4043,2024-01-03,3,240.54
113,10248,47040,2023-11-28,5,2013.15
114,28267,48364,2024-02-14,2,778.9
115,45416,24934,2023-09-04,1,430.6
116,12602,9687,2025-03-09,3,952.62
117,49962,41899,2024-02-06,4,977.08
118,21987,34699,2023-07-07,3,955.53
119,14461,27358,2024-05-11,3,632.22
120,2846,32458,2024-10-30,2,928.56
121,28520,24751,2023-12-18,2,406.56
122,2800,44417,2023-11-16,5,350.4
123,6297,14371,2024-07-24,4,1257.88
124,10106,31325,2025-05-14,1,230.4
125,36486,48061,2024-11-05,5,816.4
126,32280,7078,2025-04-13,1,441.67
127,30255,19070,2024-03-27,1,225.41
128,22402,35413,2023-09-21,3,213.57
129,19655,6131,2023-07-22,2,232.44
130,40949,886,2024-10-21,1,122.67
131,1904,7136,2025-05-22,3,603.06
132,16946,39369,2024-10-13,5,719.7
133,29824,37717,2024-03-14,1,137.63
134,10720,49991,2025-05-03,5,489.15
135,27732,1309,2023-08-18,1,368.17
136,29073,28308,2024-09-22,3,168.84
137,8848,19345,2023-08-23,1,226.83
138,20909,45278,2023-07-30,5,1175.1
139,43107,15319,2024-02-09,4,1151.0
140,34078,16792,2025-02-15,3,666.06
141,41763,38264,2024-01-30,3,537.42
142,45763,3890,2023-12-26,2,223.26
143,30634,11103,2023-09-16,1,366.32
144,24387,19536,2024-03-27,5,1566.4
145,44703,45830,2025-04-24,3,202.56
146,26094,44249,2024-01-13,3,409.17
147,1833,21530,2024-09-18,5,76.95
148,36459,26619,2023-08-17,5,1493.6
149,8600,3576,2024-11-06,4,1451.88
150,45837,21698,2023-07-16,3,1413.51
151,47308,3752,2023-08-15,1,227.68
152,18275,38153,2023-08-07,2,967.4
153,13843,45352,2023-12-28,3,1261.02
154,33870,16652,2024-01-16,3,1065.72
155,141,39211,2024-05-06,4,233.8
156,48488,42509,2024-10-27,5,507.75
157,6004,3150,2024-12-02,4,389.0
158,7609,4122,2024-09-15,3,406.29
159,17330,4024,2023-07-03,2,704.96
160,34087,45013,2024-11-24,4,1189.6
161,23430,20502,2025-05-29,4,391.28
162,25685,35734,2024-12-22,4,604.0
163,30921,10836,2025-06-02,1,392.83
164,37957,34315,2023-07-16,3,1203.93
165,4637,1268,2024-04-14,2,96.34
166,40530,41535,2025-03-23,4,1152.92
167,7864,35255,2023-10-31,4,367.92
168,12087,7086,2025-02-25,3,1367.4
169,14111,13617,2024-11-10,2,676.58
170,33693,32990,2025-04-10,3,852.75
171,14067,27113,2025-04-07,3,1161.93
172,48157,47723,2025-02-14,1,377.45
173,16056,26511,2025-01-29,4,797.52
174,26241,2,2024-01-10,5,1312.5
175,5119,49277,2025-04-30,3,91.17
176,18638,19701,2024-11-12,4,681.08
177,46316,41582,2025-01-30,4,1121.44
178,49689,42780,2023-08-31,1,453.39
179,26639,5325,2024-09-24,3,949.89
180,24829,46252,2024-07-08,3,262.53
181,37999,27912,2025-03-11,2,491.26
182,1461,38508,2025-02-02,4,211.56
183,20525,44676,2023-07-21,4,1325.36
184,32035,29618,2023-09-27,4,115.4
185,6805,14562,2025-04-28,5,2006.3
186,41594,19673,2023-10-13,3,62.64
187,31043,1900,2023-08-05,2,441.78
188,3986,39362,2025-02-11,5,233.1
189,34520,106,2024-09-04,1,225.48
190,19890,26523,2025-04-02,2,586.74
191,37334,36493,2024-07-24,4,1860.64
192,10823,31418,2024-08-20,5,353.35
193,29678,1808,2023-07-02,4,488.32
194,12153,16434,2023-12-02,5,2058.1
195,37989,13137,2024-10-02,1,69.16
196,35102,48890,2024-12-04,3,257.01
197,47687,40073,2024-04-04,1,265.47
198,9439,45112,2023-09-05,2,69.12
199,49304,48128,2024-07-12,2,433.92
200,22966,49883,2024-12-19,2,341.76
201,47992,43001,2024-05-26,1,241.21
202,31604,42101,2023-10-23,5,563.75
203,37737,7065,2023-10-21,1,5.08
204,28069,20552,2023-12-09,3,73.02
205,39166,13178,2024-05-24,3,1462.38
206,25109,7607,2023-09-26,5,2181.0
207,4599,30097,2024-08-13,2,750.4
208,24421,13267,2024-05-18,1,262.83
209,22599,16652,2023-11-08,1,355.24
210,49460,47743,2023-07-18,3,881.43
211,33525,13668,2024-01-20,2,159.7
212,35823,31402,2025-06-14,1,199.5
213,31600,12761,2024-07-10,2,691.32
214,48011,12357,2025-01-17,5,389.05
215,13088,44893,2023-12-01,1,374.69
216,39725,14180,2024-05-04,3,128.16
217,30747,20595,2024-06-08,2,932.1
218,10652,2361,2025-02-17,5,499.25
219,35770,23386,2024-11-20,4,772.64
220,21556,19626,2024-11-10,3,1170.72
221,29238,33784,2024-10-24,5,2480.65
222,30723,43272,2023-10-10,2,734.04
223,34488,42669,2024-02-16,4,449.08
224,1929,49681,2024-01-07,3,1066.65
225,30662,188,2024-04-20,5,2273.3
226,34591,2558,2024-07-12,1,245.4
227,28636,42718,2024-05-18,1,95.93
228,43386,32296,2023-11-12,4,344.24
229,29905,23641,2023-12-23,3,556.08
230,23262,14233,2023-09-10,5,256.0
231,49049,34010,2024-12-25,2,895.46
232,21944,39612,2024-12-19,3,1075.59
233,38299,16592,2023-09-11,1,124.82
234,45204,5158,2024-02-09,5,1023.25
235,45102,28715,2025-05-26,1,7.24
236,13396,19088,2025-03-21,3,677.61
237,46535,14046,2024-08-08,5,2328.9
238,39360,40130,2024-04-24,1,269.08
239,12839,21303,2024-12-08,3,730.35
240,35259,44535,2023-10-07,1,426.29
241,39401,22686,2024-01-09,1,247.89
242,36887,6010,2024-09-30,5,2185.8
243,22159,22350,2024-02-14,3,496.65
244,44962,26858,2024-11-01,3,572.31
245,30422,36483,2024-07-21,3,409.86
246,46808,34520,2024-11-18,2,628.44
247,11273,43127,2024-11-12,2,539.82
248,26588,46919,2024-06-20,3,156.36
249,8267,39270,2023-09-05,4,530.04
250,26995,46813,2024-01-31,5,379.55
251,23090,18991,2024-04-09,1,449.59
252,18697,16676,2023-07-14,3,351.69
253,22837,40564,2025-04-28,5,1456.65
254,10440,8306,2023-07-01,2,889.1
255,2055,41924,2024-07-13,2,136.68
256,44194,20811,2024-04-28,5,1890.85
257,12189,4939,2024-06-26,1,56.35
258,26129,29410,2024-12-31,3,1002.21
259,22566,9085,2024-03-20,5,1292.65
260,24161,46000,2024-10-26,4,1202.16
261,6231,35434,2025-05-13,2,693.72
262,17778,13412,2023-10-22,3,899.19
263,38228,2955,2024-06-05,1,314.3
264,2111,34151,2025-02-20,4,1775.04
265,6521,12067,2025-05-08,1,250.0
266,29964,46190,2024-09-28,3,743.64
267,25164,36623,2023-09-29,5,176.05
268,30408,33974,2024-02-09,4,1721.48
269,29622,31465,2023-11-18,5,1632.95
270,26361,1461,2025-05-19,1,419.5
271,2157,1849,2023-12-02,5,2317.6
272,1857,388,2023-09-06,1,452.51
273,26538,46590,2023-11-08,4,743.4
274,41591,10162,2024-08-03,2,147.04
275,5495,49542,2025-03-17,4,1175.24
276,9143,14169,2025-03-22,2,617.68
277,24485,2181,2025-05-04,1,201.56
278,47901,12325,2025-03-08,5,844.05
279,44391,48408,2024-11-21,4,1182.2
280,8257,11097,2023-09-09,2,497.92
281,17281,33309,2025-02-20,3,821.94
282,24502,3401,2025-04-09,4,1685.16
283,24382,14800,2024-09-30,2,305.36
284,19518,19310,2024-06-03,3,411.24
285,18796,4809,2025-04-20,3,66.51
286,28309,36632,2024-05-03,3,127.38
287,15285,28038,2024-10-17,5,1642.45
288,4578,36825,2023-10-09,5,1526.8
289,28508,506,2024-10-09,3,743.97
290,26422,4157,2024-08-22,4,387.72
291,34995,9774,2023-09-09,4,774.88
292,24996,11624,2024-10-26,3,164.73
293,936,49311,2024-04-26,5,1012.1
294,34838,48071,2025-04-21,4,897.92
295,23391,33888,2024-07-21,4,1117.76
296,5360,49932,2023-07-07,1,368.06
297,40581,13061,2024-08-11,3,1170.21
298,24741,40697,2025-06-10,4,697.36
299,15829,5415,2024-01-30,3,1382.97
300,513,44061,2024-03-21,1,406.69
301,16677,34658,2025-04-09,1,436.52
302,30891,34562,2023-11-26,4,1305.56
303,15394,4063,2023-08-16,4,1429.84
304,1299,34203,2024-02-05,3,1158.06
305,24587,39692,2024-11-28,2,28.6
306,47995,13196,2024-06-21,5,1967.45
307,40372,49276,2023-07-23,3,1146.42
308,42773,25154,2024-11-10,5,945.05
309,47820,37715,2023-07-01,3,1094.16
310,23363,33386,2024-11-21,1,483.65
311,20609,25270,2024-08-13,1,398.96
312,46902,16841,2024-04-05,4,155.88
313,30027,41017,2024-08-18,2,77.86
314,39919,18336,2024-02-24,4,1063.08
315,36315,36462,2024-06-14,2,722.4
316,14064,10324,2024-01-03,3,61.77
317,22691,6016,2024-08-06,2,809.88
318,36470,10504,2023-11-08,4,1792.12
319,25605,22040,2023-10-25,1,93.6
320,39368,49755,2024-03-31,5,998.2
321,23020,12239,2024-07-28,4,1189.6
322,29158,11585,2025-01-17,4,45.08
323,1259,45824,2024-07-18,5,1051.05
324,4387,35065,2024-11-21,1,415.85
325,21010,33669,2023-12-04,3,1440.36
326,15335,45478,2024-01-12,2,198.74
327,14040,36378,2024-08-04,2,326.46
328,10598,18558,2024-07-15,1,89.35
329,11537,31207,2023-10-21,2,293.0
330,23308,46110,2024-08-30,2,414.5
331,11595,39068,2024-08-23,5,2122.5
332,14098,3003,2025-02-23,2,269.52
333,505,12861,2025-06-19,2,189.78
334,5581,22208,2025-01-06,2,689.34
335,37403,3687,2025-05-08,2,433.4
336,18812,32300,2023-07-10,1,285.6
337,49171,36719,2024-06-09,1,190.53
338,19899,42748,2024-06-16,4,552.92
339,22533,47026,2023-10-14,3,1311.27
340,14367,47807,2024-09-05,5,1503.05
341,17171,4254,2023-06-22,4,585.56
342,7013,15064,2024-01-04,2,765.12
343,20803,25618,2024-02-14,2,110.84
344,23151,37041,2025-04-30,5,1249.5
345,27276,33467,2024-01-06,1,129.5
346,18141,38311,2023-07-18,3,1208.94
347,4261,2795,2024-02-27,4,516.24
348,27384,35092,2024-06-14,4,1283.2
349,35544,9909,2025-04-23,4,1236.8
350,47427,2836,2024-12-28,3,363.72
351,10311,31502,2023-08-11,3,93.78
352,34273,46818,2024-03-25,1,451.94
353,32245,3458,2024-02-10,3,1261.44
354,37062,14470,2024-07-23,5,1196.7
355,7815,17603,2025-05-05,4,223.44
356,46757,45444,2023-12-20,4,1534.88
357,14145,1058,2024-12-29,3,966.99
358,28174,27588,2025-01-27,4,47.56
359,19054,18275,2023-08-26,2,482.32
360,39719,27912,2024-12-10,3,736.89
361,35604,23898,2024-09-11,1,495.39
362,49923,34308,2025-02-08,5,1706.0
363,20907,32773,2023-10-08,5,2242.45
364,23763,8757,2023-09-13,5,226.7
365,8828,28134,2024-12-31,3,247.26
366,28590,19697,2024-10-24,4,23.2
367,9494,21828,2024-06-25,1,264.38
368,30053,48213,2025-06-18,3,322.23
369,38874,35577,2025-03-02,2,251.1
370,24698,27089,2024-02-13,3,963.15
371,8842,37869,2024-02-23,2,93.62
372,43227,28728,2023-08-16,5,1510.6
373,38486,25837,2024-07-20,1,153.22
374,39167,48184,2025-04-20,1,286.33
375,22030,25009,2024-02-08,1,321.9
376,24851,18999,2023-12-23,5,1118.05
377,14022,4860,2024-11-25,5,919.3
378,17061,31508,2023-10-11,3,615.51
379,1845,13051,2024-05-06,5,509.55
380,7345,26259,2025-04-21,4,1256.72
381,13548,2345,2023-11-03,2,57.02
382,30467,42188,2025-02-13,5,1118.75
383,44127,47723,2024-12-07,4,1509.8
384,39992,25143,2023-09-16,5,144.4
385,35683,8815,2024-08-26,4,1953.2
386,2104,31920,2024-01-25,3,1327.53
387,12094,33923,2023-11-23,1,99.06
388,38784,40562,2023-11-25,5,2407.5
389,25204,30802,2023-10-10,1,263.17
390,44109,47418,2025-06-07,1,116.7
391,43063,13833,2023-08-22,5,205.95
392,13321,37731,2024-05-05,3,326.16
393,44764,22358,2024-11-13,2,339.04
394,34075,203,2024-08-23,1,277.54
395,34337,2214,2023-10-01,3,918.9
396,40218,15521,2023-06-23,1,371.6
397,40334,48918,2024-05-15,2,990.32
398,28137,24942,2024-08-08,1,109.68
399,17581,11179,2025-04-09,3,1340.31
400,1055,27051,2024-06-25,4,1244.84
401,45997,24514,2023-10-24,5,1601.65
402,11494,13088,2025-03-22,3,165.78
403,24852,16086,2024-08-11,4,660.48
404,40442,4818,2024-08-27,2,302.24
405,44657,7329,2024-03-27,2,979.24
406,1005,36928,2025-04-06,4,1258.48
407,19140,14661,2023-08-31,3,1309.2
408,347,20159,2024-02-29,1,203.82
409,42999,19422,2025-01-10,3,1408.59
410,5158,4898,2025-01-22,3,551.19
411,14995,42240,2025-01-24,1,64.73
412,47113,11018,2023-12-18,1,334.12
413,32854,30845,2024-11-23,1,28.41
414,39952,39737,2024-07-11,3,607.14
415,49409,33055,2024-02-02,4,158.16
416,39375,1832,2023-07-13,5,2446.75
417,19198,26573,2023-09-23,1,329.49
418,27872,26286,2023-08-13,3,480.75
419,23870,47216,2023-07-05,5,617.6
420,13744,16121,2023-08-25,1,288.44
421,40135,36842,2023-10-30,5,1692.5
422,4864,21492,2024-07-27,1,226.86
423,31605,32642,2024-05-12,1,490.64
424,45172,31106,2025-04-03,4,1740.0
425,17331,14352,2023-07-16,2,214.78
426,22304,39702,2025-06-17,5,1670.35
427,15198,38988,2024-06-12,3,910.59
428,41187,39431,2023-11-05,5,2272.9
429,23324,187,2024-12-03,2,193.12
430,14952,49266,2024-11-19,2,189.14
431,24629,44348,2024-05-21,4,1689.96
432,44680,32665,2025-05-16,2,791.32
433,49705,8152,2024-12-21,1,49.32
434,15680,12214,2025-05-04,2,52.04
435,16314,8820,2023-07-19,1,109.39
436,42033,29104,2024-04-23,5,1351.05
437,25258,44188,2023-12-10,4,1370.96
438,38525,6730,2024-07-21,4,201.48
439,13116,30436,2023-07-06,2,180.54
440,38129,43544,2023-07-12,2,953.72
441,46370,1820,2024-08-06,5,485.75
442,11556,29891,2023-07-22,2,289.08
443,18275,10258,2023-10-18,2,214.5
444,42891,35355,2023-08-14,1,167.94
445,7307,1306,2024-06-03,5,40.45
446,29086,29767,2025-03-04,5,983.95
447,28035,1429,2023-11-19,2,299.16
448,49563,4763,2024-02-14,5,1664.8
449,48009,47059,2023-12-21,5,756.5
450,28359,34369,2024-08-20,5,244.9
451,9077,5110,2024-01-04,5,1437.3
452,28540,44364,2025-01-19,1,198.75
453,3383,11242,2023-11-28,1,30.67
454,26578,24912,2024-05-03,1,341.29
455,22205,48062,2025-02-15,1,349.43
456,7881,22288,2024-12-29,4,1793.16
457,31473,3218,2025-01-15,4,1533.04
458,32005,19624,2024-06-28,5,1245.15
459,14016,27053,2023-07-03,1,167.6
460,3432,40835,2025-03-13,3,226.65
461,22180,42389,2025-03-04,4,1017.72
462,9215,38306,2025-04-26,1,67.18
463,4936,19656,2023-08-13,3,1162.62
464,47738,41543,2023-12-21,5,2357.75
465,48582,25746,2024-11-16,3,1095.99
466,10813,33554,2025-01-05,2,726.38
467,17860,35729,2025-03-26,3,1084.44
468,32819,29123,2025-05-21,1,373.49
469,6713,16805,2024-02-09,3,967.95
470,24158,27070,2024-07-27,1,258.89
471,44192,24269,2023-09-19,1,202.08
472,21700,23095,2024-11-07,5,396.05
473,19140,4698,2024-06-01,3,968.22
474,44549,4934,2023-08-04,5,995.2
475,47331,25003,2024-03-26,2,140.66
476,37611,41995,2023-08-18,5,2499.35
477,2460,48436,2024-08-11,1,116.33
478,19661,46758,2023-08-02,5,2061.85
479,8230,38710,2023-08-30,4,1522.36
480,12625,28255,2023-08-14,1,161.7
481,5450,41760,2023-12-07,5,1425.65
482,29530,1546,2023-10-01,1,476.84
483,38703,25244,2025-02-10,2,934.76
484,40378,9107,2023-11-20,5,1152.15
485,8321,46119,2024-03-23,5,744.2
486,40652,3224,2025-05-20,3,824.76
487,41798,14949,2024-02-13,3,1236.66
488,17373,35361,2024-10-28,5,1546.6
489,3271,11593,2023-06-23,3,716.07
490,29950,301,2024-03-12,2,948.58
491,36855,5888,2025-04-30,3,1454.91
492,29296,42725,2024-04-23,5,844.85
493,20877,12780,2024-09-11,1,387.4
494,4719,5640,2025-05-24,3,1491.39
495,42323,30775,2024-12-28,4,1552.88
496,49589,39432,2024-03-29,5,2409.85
497,7635,12836,2024-11-17,3,774.84
498,33550,47724,2024-09-21,5,1678.95
499,43117,23672,2024-10-09,2,581.5
500,13949,4931,2024-07-08,1,453.91
501,1214,28750,2025-03-23,1,370.47
502,21638,41226,2023-09-12,5,1424.45
503,13658,10275,2024-12-28,3,748.65
504,1387,38591,2025-03-14,3,881.43
505,2607,29213,2024-07-13,2,704.9
506,11355,14764,2024-06-06,3,773.07
507,7015,24528,2024-01-06,5,2310.35
508,34373,23753,2024-06-06,1,304.86
509,34083,39337,2023-09-28,2,273.3
510,41890,28951,2024-04-07,1,192.58
511,37218,47397,2025-03-27,2,845.36
512,48187,4465,2024-05-26,2,458.6
513,31757,20594,2024-07-29,4,1970.24
514,41325,40179,2025-05-28,3,953.4
515,2343,39171,2025-04-22,5,1704.0
516,7681,4420,2024-05-15,3,1299.99
517,37773,26221,2024-12-14,3,459.3
518,12032,38981,2024-03-05,4,1449.48
519,16169,32987,2024-05-01,1,474.97
520,16918,45147,2024-10-12,3,737.76
521,9754,32479,2024-11-11,1,425.74
522,20507,9816,2024-08-31,4,1529.32
523,46100,28577,2024-02-29,4,1170.8
524,27706,29583,2024-08-14,5,340.1
525,8037,18764,2024-04-27,3,1473.84
526,46376,44912,2024-01-18,1,247.49
527,28337,7112,2024-08-09,2,519.92
528,1201,42113,2023-07-23,3,1191.39
529,11008,24762,2025-03-20,1,43.63
530,28367,18958,2024-01-22,4,189.24
531,11742,11367,2023-12-14,5,209.05
532,19977,31042,2024-07-26,3,203.49
533,8815,8481,2024-06-10,5,489.1
534,5247,16339,2024-02-16,3,1415.46
535,20671,32692,2023-06-22,1,61.2
536,46878,12316,2024-12-03,5,1472.05
537,7616,48289,2023-07-20,4,1867.16
538,15702,23991,2025-02-07,3,529.74
539,45871,14382,2023-07-04,2,948.58
540,40351,3554,2024-09-26,3,903.9
541,13688,9954,2025-06-14,4,448.96
542,29315,31802,2024-12-07,2,451.76
543,40127,42992,2024-12-11,3,363.87
544,3546,32359,2025-04-14,5,1999.6
545,12827,10017,2024-09-17,1,73.95
546,31750,17215,2023-10-22,3,1360.59
547,5610,26031,2024-07-22,3,469.29
548,37726,21945,2025-02-02,4,1503.44
549,12445,6464,2023-08-31,4,900.0
550,14595,24335,2024-08-01,1,451.01
551,36877,25031,2023-10-13,5,791.05
552,40553,42989,2024-06-27,3,591.21
553,39358,32681,2025-06-02,5,2193.9
554,10806,8465,2025-05-26,2,500.6
555,38245,27604,2023-11-16,3,44.61
556,7254,31059,2024-11-04,3,439.8
557,11470,19639,2023-07-14,1,319.27
558,13264,3641,2024-11-15,3,898.26
559,21617,14907,2023-07-11,5,1119.35
560,17305,46595,2023-10-16,2,473.54
561,19972,18232,2024-04-26,2,466.66
562,31133,24964,2025-01-12,3,1068.42
563,1591,1707,2023-11-21,2,333.1
564,19321,24935,2024-03-08,5,1557.35
565,41044,16169,2023-10-10,1,24.26
566,19311,30898,2023-07-18,5,1028.35
567,24529,13188,2025-05-02,1,472.45
568,12344,40124,2024-05-19,4,1555.52
569,38850,13642,2024-01-19,4,911.64
570,49696,14446,2023-07-26,5,743.8
571,43749,5538,2024-08-16,2,999.7
572,21195,35271,2023-11-24,4,1029.64
573,39075,18521,2023-08-13,4,1137.32
574,21984,43781,2023-10-14,1,155.69
575,6569,36090,2023-09-30,2,80.9
576,368,738,2024-10-12,5,2417.55
577,46745,5044,2024-06-15,4,1522.32
578,34261,15198,2023-09-28,1,44.69
579,36021,34046,2024-02-04,1,474.13
580,12847,49030,2023-11-30,4,1447.76
581,28099,22749,2025-01-28,3,199.56
582,18468,32837,2024-01-20,3,581.52
583,31300,18456,2025-04-29,4,1663.68
584,32309,15311,2023-12-18,3,204.6
585,49356,34651,2023-11-20,2,37.9
586,35023,39274,2025-04-19,5,2410.75
587,49998,12810,2025-06-17,1,488.96
588,39069,39346,2024-01-05,4,1730.44
589,19058,39477,2023-11-16,3,152.34
590,22536,48694,2024-11-12,5,1329.75
591,20162,35883,2023-12-04,3,816.99
592,49372,9189,2025-04-19,1,29.35
593,12846,11042,2024-10-27,5,75.4
594,16608,27843,2024-06-01,1,193.54
595,6134,40033,2024-08-08,3,1042.92
596,43566,41792,2024-04-22,4,1028.36
597,21784,13754,2023-12-10,3,396.93
598,46233,45518,2024-09-29,3,833.82
599,8951,22748,2025-06-15,5,1891.85
600,24790,12540,2024-01-08,4,1454.36
601,40476,8614,2023-11-05,2,863.7
602,29282,49550,2024-11-14,2,518.76
603,43715,20061,2024-05-06,4,894.44
604,44744,38801,2025-01-26,3,143.31
605,9695,48299,2025-02-19,1,156.9
606,24561,12164,2024-09-23,2,447.3
607,34838,45738,2024-03-28,1,355.98
608,46902,27676,2024-12-06,5,487.5
609,47759,27252,2023-07-08,4,1670.12
610,39883,25588,2024-08-31,4,451.4
611,23752,36729,2023-12-14,2,902.3
612,12634,23125,2023-09-30,2,705.5
613,48024,10131,2024-10-23,4,57.0
614,13004,4000,2025-02-20,1,212.53
615,11653,35102,2023-10-11,1,351.78
616,35050,4977,2024-01-13,2,80.54
617,14436,18631,2024-04-26,3,821.34
618,35200,31602,2025-04-19,3,428.16
619,22233,36950,2023-10-12,4,964.92
620,38884,18181,2025-04-01,3,296.13
621,35063,39551,2025-01-31,4,380.84
622,35137,8432,2024-09-30,1,94.24
623,38190,48664,2024-02-23,2,123.4
624,17394,7954,2024-02-28,5,2311.2
625,33209,38814,2024-03-23,1,154.52
626,44338,48416,2023-10-07,1,211.96
627,32481,4171,2024-05-12,5,1689.6
628,45273,40541,2025-01-12,5,731.3
629,2677,47841,2023-07-17,1,172.8
630,14522,6270,2023-12-22,5,554.25
631,18146,34430,2023-12-16,2,834.88
632,1082,21323,2023-11-21,4,322.04
633,14215,24954,2024-08-29,3,929.97
634,19345,45930,2025-02-16,4,1595.6
635,12921,8915,2023-11-21,5,479.3
636,34253,46608,2025-04-17,2,112.62
637,2695,2122,2023-10-24,4,1941.24
638,38011,5738,2023-10-01,1,383.68
639,40406,45737,2023-12-14,4,40.4
640,46410,43567,2023-07-31,2,558.18
641,10011,48601,2024-06-27,5,270.65
642,10569,37100,2025-03-01,1,263.75
643,37880,17559,2025-01-30,1,129.85
644,612,34940,2023-09-27,1,279.18
645,7624,3213,2024-10-03,2,116.7
646,37024,29065,2024-10-20,3,32.55
647,40344,47475,2023-11-03,1,226.19
648,46006,39003,2024-04-01,5,1095.65
649,2329,36701,2023-12-25,2,476.08
650,20090,26514,2024-07-05,3,30.45
651,46543,40568,2025-03-03,1,333.57
652,19531,21951,2025-04-29,3,1298.34
653,3887,14140,2024-04-16,1,340.38
654,34160,6339,2025-04-07,3,1204.11
655,30268,9705,2024-05-24,5,1054.6
